host_yrs_exp,room_private,accommodates,bedrooms,number_of_reviews,n_bathrooms,bathroom_private,log_price,has_parking,has_heating,has_ac,has_tv
6,0,5,2,5,2.5,1,5.15905529921453,1,1,1,1
6,0,2,1,3,1.0,1,4.40671924726425,1,1,1,1
8,0,3,1,39,1.0,1,4.976733742420571,1,1,1,0
5,0,4,2,42,1.0,1,5.62040086571715,1,1,1,1
9,0,6,3,4,2.5,1,5.2882670306945405,1,1,1,1
4,0,2,1,0,1.0,1,5.2933048247244905,1,1,1,1
6,0,4,2,281,1.0,1,4.69134788222914,1,1,1,1
5,0,3,1,1,1.0,1,5.525452939131781,1,1,1,1
9,0,2,1,8,1.0,1,4.17438726989564,1,1,0,1
5,0,6,2,41,1.0,1,5.2933048247244905,1,1,1,1
5,0,4,2,2,1.5,1,5.342334251964809,1,1,1,1
8,0,4,2,71,1.0,1,4.7957905455967405,1,1,1,1
2,1,2,1,29,1.0,1,4.44265125649032,1,1,1,1
2,0,5,2,39,1.0,1,4.6539603501575195,1,1,1,1
7,0,4,1,14,1.5,1,5.26269018890489,1,1,1,1
5,1,1,1,10,1.0,1,4.30406509320417,1,1,1,1
6,0,6,2,134,1.5,1,5.568344503761099,1,1,1,1
5,0,2,1,253,1.0,1,4.1896547420264305,1,1,1,1
6,0,5,2,189,1.0,1,5.47227067367148,1,1,1,1
8,0,2,1,3,1.0,1,4.6634390941120705,1,1,1,1
7,0,4,1,46,1.0,1,4.54329478227,1,1,1,1
0,0,4,2,12,1.0,1,5.55295958492162,1,1,1,1
6,0,9,3,0,3.5,1,4.88280192258637,1,1,1,1
5,0,4,2,26,1.0,1,4.6539603501575195,1,1,1,1
9,1,5,2,32,1.5,1,4.4998096703302695,1,1,1,1
8,1,1,1,89,1.0,0,3.5553480614894104,1,1,0,1
5,0,16,3,110,3.0,1,6.69826805411541,1,1,1,1
4,0,5,2,13,1.0,1,6.6567265241783895,1,1,1,1
4,0,6,3,88,2.0,1,5.332718793265371,1,1,1,1
7,0,2,1,355,1.0,1,5.023880520846281,1,1,1,1
6,0,8,4,4,2.0,1,6.07534603108868,1,1,1,1
7,0,6,2,1,2.5,1,5.220355825078321,1,1,1,1
6,0,5,3,143,1.0,1,5.2040066870768,1,1,1,1
7,0,4,2,21,1.5,1,5.220355825078321,1,1,1,1
8,0,12,3,110,2.0,1,5.82600010738045,1,1,1,1
2,1,1,1,6,1.0,0,3.80666248977032,1,1,1,1
2,0,10,4,61,4.0,1,6.07073772800249,1,1,1,1
6,0,4,2,26,1.0,1,4.81218435537242,1,1,1,1
6,0,5,2,306,1.0,1,4.5849674786705705,1,1,1,1
6,0,2,1,20,1.0,1,5.14749447681345,1,1,1,1
3,1,2,1,74,1.5,0,4.17438726989564,1,1,1,1
3,0,3,2,115,1.0,1,4.382026634673879,1,1,1,1
5,1,1,1,6,1.0,1,4.00733318523247,1,1,0,1
6,0,2,1,220,1.0,1,5.08759633523238,1,1,1,0
2,0,2,1,1,1.0,1,4.17438726989564,1,1,1,0
6,0,2,1,67,1.0,1,4.7957905455967405,1,0,0,1
2,0,2,1,0,1.0,1,5.48479693349065,1,1,1,1
4,0,2,1,2,1.0,1,4.8283137373023,1,1,1,1
3,1,2,1,60,1.5,0,3.95124371858143,1,1,1,1
3,0,2,1,54,1.0,1,4.430816798843309,1,1,1,1
5,0,4,2,33,1.0,1,4.6539603501575195,1,1,1,1
9,0,2,2,19,1.0,1,5.11799381241676,1,1,1,1
0,0,4,1,20,1.0,1,5.35185813347607,0,1,1,1
5,0,2,1,142,1.0,1,5.00394630594546,1,1,1,1
8,0,5,3,21,2.5,1,5.433722003554241,1,1,1,1
6,1,1,1,8,1.0,0,4.17438726989564,1,1,1,0
7,0,4,2,5,1.0,1,5.04985600724954,1,1,0,1
6,0,2,1,15,1.0,1,4.95582705760126,1,1,1,1
6,0,4,1,73,1.0,1,4.85203026391962,1,1,1,1
